"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"atwork GmbH","Martina Grom, Toni Pohl","+43 1 370 83 90","Kreilplatz 1","1190","Wien","IT-Consulting / Cloud Services","","Recherche","WKO/Herold/firmenabc.at","2026-09-13","www.atwork-it.com","","","","",""
"ABC Research GmbH","Dr. Klaus Pirklbauer","+43 5 02 62","Favoritenstraße 111","1100","Wien","IT-Forschung / Blockchain","","Recherche","firmeninfo.at/firmenabc.at","2026-09-13","www.abc-research.at","","","","",""
"Auvaria Managed Services GmbH","","","Viktorgasse 14/2/1","1040","Wien","Managed Service Provider","","Recherche","firmenabc.at","2026-09-13","","","","","",""
"Braintribe Technology GmbH","Dr. Ernst Georg Wustinger","01 5440036","Laurenzerberg 1/28","1010","Wien","Softwareentwicklung","","Recherche","WKO/firmenabc.at/Northdata","2026-09-13","www.braintribe.com","","","25000","2024","Northdata"
"Cloud Catalyst GmbH","","","Donau-City-Straße 7/30","1220","Wien","Cloud Services","","Recherche","firmenabc.at/firmeninfo.at","2026-09-13","","","","","",""
"CTS Cyber Trust Services GmbH","Dr. Thomas Stubbings, MBA","","Wienerbergstrasse 11/12A","1100","Wien","IT-Security","","Recherche","WKO/Herold/firmeninfo.at","2026-09-13","www.cyber-trust.at","","","","",""
"C-Solutions IT Consulting GmbH","Mag. Ralf Thaller","+43 664 2524347","Feilplatz 3/8","1140","Wien","IT-Consulting","","Recherche","Herold/firmenabc.at","2026-09-13","www.c-solutions.at","","","","",""
"Datasys Software GmbH","Dipl.-Ing. Roland Knor, Dipl.-Ing. Thomas Tonnhofer","+43 676 844142434","Afrikanergasse 5/3/10","1020","Wien","Softwareentwicklung / Webentwicklung","","Recherche","WKO/Herold/Northdata","2026-09-13","www.datasys.at","","","1035501","2025","Northdata"
"DS Data System GmbH","Ing. Gabriel Gabriel, BSc MSc","","Draschestraße 27/1/6","1230","Wien","IT-Dienstleistung / MSP (IT-Outsourcing)","","Recherche","WKO/firmenabc.at","2026-09-13","www.data-system.at","","","","",""
"Datacollection Hard-Software Systemhaus GmbH","","","Brünner Straße 59","1210","Wien","Systemhaus","10-19","Recherche","Herold/firmenabc.at","2026-09-13","","","","","",""
"Deutsche Telekom Cloud Services GmbH","","","Donau-City-Straße 7/30","1220","Wien","Cloud Services","","Recherche","firmenabc.at","2026-09-13","","","","","",""
"ENTERPRISE IT-Dienstleistungs & Handels GmbH","Mag. Karel Krobath","+43 699 13176047","Tuchlauben 7a","1010","Wien","IT-Dienstleistung","","Recherche","Herold/firmenabc.at/Northdata","2026-09-13","www.enterprise-it.at","","","","",""
"Forte Digital AT GmbH","Christof Zahneissen","","Lazarettgasse 29/25","1090","Wien","Digitalagentur / Softwareentwicklung","","Recherche","firmenabc.at/wirtschaft.at","2026-09-13","www.fortedigital.com","","","","",""
"Field & Focus GmbH","","","Goldschlagstraße 172/Stg. 7/3","1140","Wien","Webentwicklung / Digitalagentur","","Recherche","firmenabc.at/firmeninfo.at","2026-09-13","","","","","",""
"global IT GmbH","Ing. Christian Zankl-Haage","0043-676-84828710","Klopstockgasse 50/8","1170","Wien","IT-Dienstleistung","","Recherche","WKO/firmenabc.at","2026-09-13","global-i-t.at","","","","",""
"GTT Cloud Austria GmbH","","(01) 8 67 93 60","Simmeringer Hauptstraße 24","1110","Wien","Cloud Services","","Recherche","WKO/herold.at","2026-09-13","","","","","",""
"GEKKO it-solutions GmbH","Dkfm. Jan Wiedey / Johannes Kunschert","+43 (0)1 710 56 56","Wiegelestraße 10","1230","Wien","IT-Consulting","","Recherche","WKO/herold.at/firmenabc.at","2026-09-13","gekko.at","","","","",""
"GRID applications GmbH","Ing. Andreas Reichart","+43 1 205 116 011","Kärntner Ring 5-7","1010","Wien","Softwareentwicklung","9","Recherche","WKO/firmenabc.at/firmenbuch.ai","2026-09-13","grid-applications.com","","","21943.21","2024","firmenbuch.ai (Jahresabschluss)"
"GRÜN Software GmbH","Dr. Oliver Grün / Dirk Hönscheid","+43 1 8903976 76","Am Euro Platz 2, Gebäude G","1120","Wien","Softwareentwicklung","","Recherche","WKO/northdata.de","2026-09-13","gruen.net","","","","",""
"Helger IT Consulting GmbH","Philip Stefan Helger","+43 699 10065233","Grinzinger Allee 46/1/4","1190","Wien","IT-Consulting","","Recherche","WKO/herold.at","2026-09-13","helger.com","","","","",""
"""IT-Experts"" IT-Dienstleistungs GmbH","Bertram Grillitsch","","Rabnitzweg 22","1210","Wien","IT-Dienstleistung","","Recherche","WKO","2026-09-13","","","","","",""
"JP Netzwerktechnik GmbH","Johann Pilz","+43 660 8370005","Klg. Frohes Schaffen, Gruppe A, Parzelle 81","1210","Wien","IT-Infrastruktur/Netzwerktechnik","","Recherche","WKO/herold.at","2026-09-13","jp-netzwerktechnik.at","","","","",""
"""J-IT"" IT-Dienstleistungs GesmbH","","+43 720 88 40 85","Vorgartenstraße 206B","1020","Wien","IT-Consulting/Softwareentwicklung","","Recherche","WKO/firmenabc.at","2026-09-13","jit.at","","","","",""
"Kastner Consulting GmbH","Alina Kastner, MSc","","Salmannsdorfer Straße 27/2","1190","Wien","Softwareentwicklung","","Recherche","WKO/firmenabc.at","2026-09-13","","","","","",""
"KS AT koenig.solutions GmbH","Anil Ugurlu / Artjom König / Gottlieb König","","Am Europlatz 2, Stiege 8, 1. Stock","1120","Wien","IT-Consulting (SAP)","","Recherche","WKO/herold.at/firmenabc.at","2026-09-13","koenig.solutions","","","","",""
"metafinanz Informationssysteme GmbH","Christian Becker / Rainer Göttmann / Ruth Nuber","","Schönbrunner Straße 31/26","1050","Wien","IT-Consulting","","Recherche","WKO/northdata.com/firmeninfo.at","2026-09-13","metafinanz.de","","","","",""
"mm software systems GmbH","Michael Springsits","","Burgring 1/5A","1010","Wien","Softwareentwicklung/IT-Consulting","","Recherche","firmenabc.at/wirtschaft.at","2026-09-13","","","","","",""
"MO4JO IT-Solutions GmbH","Georg Macháček","+43(0)1/979 72 61 50","Jakob Gremdlinger Straße 18","1140","Wien","Managed Service Provider","","Recherche","WKO/herold.at/firmeninfo.at","2026-09-13","mo4jo.at","","","","",""
"OVOS media GmbH","Jochen Kranzer, Jörg Hofstätter, Johannes Amon","+43 1 89033890","Schottenfeldgasse 60/36-38","1070","Wien","Softwareentwicklung (Games/Interactive)","","Recherche","WKO/firmenabc.at/herold.at","2026-09-13","ovos.at","","","","",""
"PAYUCA GmbH","Dominik Wegmayer","+43 1 307 5622","Handelskai 92, Gate 2, 3.OG","1200","Wien","Softwareentwicklung (PropTech/Smart Parking)","","Recherche","herold.at/firmenabc.at","2026-09-13","payuca.com","","","","",""
"UUnited GmbH","Andreas Schmidt","","Westbahnstraße 1A/R5","1070","Wien","IT-Dienstleistungen","","Recherche","firmenabc.at/firmeninfo.at","2026-09-13","","","","","",""
"yITs your IT solutions GmbH","Peter Bayer (gewerberechtl. GF)","","Mariahilfer Straße 53/16","1060","Wien","IT-Consulting/IT-Dienstleistungen","","Recherche","WKO Firmen A-Z/herold.at","2026-09-13","yit-solutions.com","","","","",""
"ZIMT Software Concepts & Consulting GmbH","Maximilian Zamorsky (gewerberechtl. GF)","","Rechte Wienzeile 29/4","1040","Wien","IT-Consulting/Softwareentwicklung","","Recherche","WKO Firmen A-Z/firmenabc.at","2026-09-13","","","","","",""
"Tricentis GmbH","Dr. Nathalie Hütter","+43 1 263 24 09 0","Leonard-Bernstein-Straße 10 (Saturn Tower)","1220","Wien","Softwaretestautomatisierung/EDV-Beratung","","Recherche","WKO Firmen A-Z/herold.at/wirtschaft.at","2026-09-13","tricentis.com","","","","",""
"""Thematik"" IT-Services GmbH","Dr. Mag. Friedrich Nistelberger","","Untere Donaustraße 47/2.OG","1020","Wien","IT-Consulting/IT-Dienstleistungen","","Recherche","WKO Firmen A-Z/firmenabc.at","2026-09-13","thematik.com","","","","",""
"WeAreDevelopers GmbH","Rudolf Bauer, Sead Ahmetovic","","Schottenfeldgasse 23","1070","Wien","IT-Dienstleistungen/Tech-Community & Recruiting","","Recherche","WKO Firmen A-Z/northdata.com/herold.at","2026-09-13","wearedevelopers.com","","","","",""
"UPSIDE SOFTWARE GmbH","Franz Gerhart (gewerberechtl. GF)","","Gumpendorfer Straße 19","1060","Wien","Softwareentwicklung","11-30","Recherche","WKO Firmen A-Z/karriere.at/northdata.com","2026-09-13","","","","","",""
"techno IT Services GmbH","Dipl.-Ing. Hannes Rogler","","Berlagasse 45","1210","Wien","Softwareentwicklung (Branchensoftware Papier/Druck)","","Recherche","northdata.de/firmenabc.at","2026-09-13","","","","","",""
"XFIS IT-Lösungen GmbH","Dr. Jacobus van Meel","","Nordbahnstraße 56/DG 2","1020","Wien","IT-Beratung/Softwareentwicklung","","Recherche","WKO Firmen A-Z/northdata.com/karriere.at","2026-09-13","xfis.at","","","","",""
