"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"FIRE - die digitale Finanzberatung e.U.","Hratsch Ohanjan","+43 676 5182109","Reinprechtsdorfer Straße 51/7","1050","Wien","Gewerbl. Vermögensberatung","","Recruiting","WKO Firmen A-Z; Firmenbuch FN 544991h; fire-finanzberatung.com Impressum (WebSearch)","2026-09-20","https://www.fire-finanzberatung.com","","","","",""
"Friedrich Mössmer – Gewerbl. Vermögensberatung (Einzelfirma)","Friedrich Mössmer","+43 1 334 72 70","Vordere Zollamtsstraße 11","1030","Wien","Gewerbl. Vermögensberatung, GISA 24424769","","Recruiting","WKO Firmen A-Z; moss.at Impressum (WebSearch)","2026-09-20","https://moss.at","","","","",""
"Beratung Gruber (Die HonorarBeratung)","DI Harald Gruber","+43 664 4169978","Rockhgasse 4/19","1010","Wien","Gewerbl. Vermögensberatung, GISA 24432139","","Recruiting","diehonorarberatung.at Impressum/Kontakt; herold.at (WebSearch)","2026-09-20","https://www.diehonorarberatung.at","","","","",""
"IMAK Industrie-Versicherungsmakler Gesellschaft m.b.H.","Stefan Haumer","+43 1 58 882 0","Wiedner Hauptstraße 68","1040","Wien","Versicherungsmakler, GISA 24064309","","Recruiting","WKO Firmen A-Z; imak.at Impressum (WebSearch)","2026-09-20","https://www.imak.at","","","","",""
"mfg versicherungsmakler gmbh","Mag. Karin Carnell / Armin Voetter","01 2717929-0","Puffergasse 1-3/15/4","1210","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; Firmenbuchauszug evi.gv.at (WebSearch)","2026-09-20","http://www.m-f-g.at","","","","",""
"A. Höbart Versicherungsmakler GmbH","Andreas Höbart, B.Sc.","0699/190 415 83","Talpagasse 1a","1230","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; andreashoebart.at Impressum (WebSearch)","2026-09-20","https://www.andreashoebart.at","","","","",""
"PPP Financial Solutions GmbH","Robert Proksch","+43 664 3273873","Am grünen Prater 13/Top 23","1020","Wien","Gewerbl. Vermögensberatung, GISA 30345522","","Recruiting","WKO Firmen A-Z; ppp-consult.at Impressum (WebSearch)","2026-09-20","https://www.ppp-consult.at","","","","",""
"NANKE & Partner Versicherungsmakler GmbH","Mag. Christian Barnet","+43 1 587 43 00","Mariahilfer Straße 47/3/11","1060","Wien","Versicherungsmakler, GISA 25554496","","Recruiting","WKO Firmen A-Z; nanke.at / versicherungskanzlei.co.at Impressum (WebSearch)","2026-09-20","https://www.nanke.at","","","","",""
"Fonds & Mehr Vermögensberatung Franz Wurzinger e.U.","Franz Wurzinger","+43 676 9414709","Sebastianplatz 6/5/1a","1030","Wien","Gewerbl. Vermögensberatung","","Recruiting","WKO Firmen A-Z; fondsundmehr.at Impressum (WebSearch)","2026-09-20","https://www.fondsundmehr.at","","","","",""
"Rubas & Co Versicherungsmaklergesellschaft m.b.H.","Eric Rubas","+43 1 310 06 03","Rotenlöwengasse 15/2","1090","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; rubas.co.at Impressum (WebSearch)","2026-09-20","https://www.rubas.co.at","","","","",""
"XUND Versicherungsmakler KG","Mathias Quell (gewerberechtl. GF)","+43 1 997 1419","Walfischgasse 8/17","1010","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; xund.wien Impressum (WebSearch)","2026-09-20","https://www.xund.wien","","","","",""
"Ritter Finanzplanung (Reinhard Ritter)","Reinhard Ritter","+43 1 503 74 50","Krugerstraße 13/4. OG","1010","Wien","Gewerbl. Vermögensberatung, GISA 23095120","","Recruiting","ritter-finanzplanung.com Impressum (WebSearch)","2026-09-20","https://www.ritter-finanzplanung.com","","","","",""
"Finanzfuchsgruppe GmbH (Mag. Valentin Stadler, MBA)","Mag. Valentin Stadler, MBA","+43 650 8142091","Wiedner Gürtel 9-13, THE ICON VIENNA, Tower 24, 19.OG","1100","Wien","Gewerbl. Vermögensberatung, GISA 14774041","","Recruiting","valentinstadler.at Impressum; WKO Firmen A-Z (WebSearch)","2026-09-20","https://www.valentinstadler.at","","","","",""
